Provinsi,frekuensi
ACEH,52
BALI,175
BANTEN,41
BENGKULU,22
DI YOGYAKARTA,46
DKI JAKARTA,20
GORONTALO,9
JAMBI,18
JAWA BARAT,2121
JAWA TENGAH,1332
JAWA TIMUR,297
KALIMANTAN BARAT,24
KALIMANTAN SELATAN,35
KALIMANTAN TENGAH,10
KALIMANTAN TIMUR,90
KALIMANTAN UTARA,59
KEPULAUAN BANGKA BELITUNG,8
KEPULAUAN RIAU,9
LAMPUNG,24
MALUKU,29
MALUKU UTARA,8
NUSA TENGGARA BARAT,25
NUSA TENGGARA TIMUR,66
PAPUA,4
PAPUA BARAT,3
RIAU,25
SULAWESI BARAT,12
SULAWESI SELATAN,124
SULAWESI TENGAH,12
SULAWESI TENGGARA,20
SULAWESI UTARA,24
SUMATERA BARAT,104
SUMATERA SELATAN,38
SUMATERA UTARA,56
